Bank Ticker,BAC,BAC,BAC,BAC,BAC,MS,MS,MS,MS,MS,C,C,C,C,C,WFC,WFC,WFC,WFC,WFC,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-06,37.9553,38.1241,37.7971,38.0504,13448646.095202,39.2486,39.5841,38.9219,39.2937,3674463.9946413,379.993,384.603,379.228,381.402,1468024.908315,22.9137,22.9926,22.8141,22.9275,10716070.033418,120.397,120.848,118.584,119.144,3530463.968775,29.9036,30.1443,29.6639,29.8682,13561528.487865
2006-03-07,37.9464,38.4532,37.9139,38.3951,15228597.93741,39.0916,39.2702,38.762,39.123,4023833.6119382,379.404,384.31,378.984,383.976,1885067.5486501,22.9275,23.2541,22.8387,23.2009,14584982.26019,118.624,118.683,117.634,118.565,3378079.1120301,29.5735,30.0352,29.5735,29.9036,13094665.333145
2006-03-08,38.2253,38.623,38.2253,38.4698,16874163.010756,39.1162,39.1584,38.3627,38.7356,4981184.4803087,383.536,387.343,383.203,386.297,1376193.9262349,23.1387,23.3252,22.9808,23.1752,9211249.1726404,117.929,118.85,116.056,117.085,4422025.0193019,29.9114,30.0981,29.7041,29.9949,12686895.739556
2006-03-09,38.4619,38.5523,38.2823,38.3343,14166802.853735,38.6688,38.9876,38.3068,38.4628,3645094.7022046,386.297,388.773,384.456,384.691,1613724.1279532,23.1515,23.2235,22.9581,22.9926,7416016.5347292,117.212,117.81,115.997,116.36,2753313.7499056,29.9213,30.0981,29.5293,29.599,13547382.106568
2006-03-10,38.292,38.7143,38.2498,38.6711,14890313.86154,38.4628,39.1652,38.4628,38.7708,5265239.1722448,385.62,390.506,385.444,388.871,1638979.8443522,22.9926,23.1752,22.9206,23.116,8803567.5064165,116.36,117.046,115.135,116.281,3944292.6824094,29.6049,29.8485,29.4703,29.656,15499700.798776
2006-03-13,38.678,38.8813,38.5346,38.6623,11990100.936807,38.8522,39.1495,38.4264,38.552,5177261.7617018,388.871,390.506,385.856,387.618,1261936.914057,23.1249,23.2541,23.0874,23.1584,8062967.3637183,116.291,117.439,114.351,115.605,6018928.8929143,29.8849,29.9036,29.544,29.6049,14738247.243823
2006-03-14,38.7143,39.0502,38.6623,38.9324,17066774.440113,39.2055,39.903,39.0308,39.3644,8836402.0268194,388.411,391.161,388.01,390.418,1584082.9085611,23.116,23.3894,23.0953,23.3627,12840333.871337,119.898,122.809,119.624,122.74,13693057.338753,29.7474,29.9213,29.7395,29.8358,22498985.817102
2006-03-15,38.7546,39.1592,38.6054,39.0502,13479892.79336,39.4439,39.8147,39.0632,39.1162,6226508.1207196,390.026,390.574,387.941,389.037,1391831.7738518,23.3035,23.3834,23.1891,23.3548,7567473.3786884,121.868,122.936,121.26,122.387,9198125.9870536,29.6766,29.8083,29.5519,29.7189,19433333.277281
2006-03-16,39.116,39.4694,39.116,39.3526,15453290.056966,39.6685,39.7597,39.2408,39.3095,7867538.4855097,390.32,394.324,390.026,391.592,2118586.1337241,23.3894,23.5236,23.2837,23.3686,9078689.5996796,122.485,122.975,121.133,121.338,7334051.9498882,29.8603,29.9439,29.7474,29.7906,13933099.509134
2006-03-17,39.5294,39.5382,39.2525,39.4694,22541148.096983,39.5087,39.7049,39.3801,39.5175,7245630.9263024,393.256,393.256,390.995,392.317,2529129.689493,23.4969,23.5058,23.3755,23.4091,13584543.627896,121.828,124.504,121.643,123.544,8117293.7672574,29.8151,29.9213,29.7395,29.8485,18089485.072684
